Fund Name,Entity,Asset Allocation,Market,Shariah/Non-Sariah,Risk Level,Nav Price,Movement,Valuation Date
"A-Dana Strategic Dynamic","APTB","Balanced","Local & Foreign","Shariah","Moderate","1.16069","-0.00901","04-Sep-2024"
"AIA Balanced Fund","AIA","Balanced","Local","Non-Shariah","Moderate","4.76559","-0.02300","04-Sep-2024"
"AIA Dana Progresif*","AIA","Balanced","Local","Shariah","Moderate","3.19374","-0.01854","04-Sep-2024"
"AIA Elite Conservative Fund","AIA","Balanced","Foreign","Non-Shariah","Moderate","1.05588","-0.00731","04-Sep-2024"
"AIA Global Balanced Fund","AIA","Balanced","Foreign","Non-Shariah","Moderate","1.05947","-0.01055","04-Sep-2024"
"PB Income Plus 2 Fund","AIA","Balanced","Local","Non-Shariah","Moderate","0.87811","-0.00413","19-Sep-2022"
"PB Income Plus Fund","AIA","Balanced","Local","Non-Shariah","Moderate","0.81970","-0.00586","20-Jun-2022"
"A-Dana Balanced","AIA PUBLIC","Balanced","Local","Shariah","Moderate","1.77759","-0.01178","04-Sep-2024"
"A-Dali Equity","APTB","Equity","Local","Shariah","High","0.53947","-0.00410","04-Sep-2024"
"AIA Aggressive Fund","AIA","Equity","Local","Non-Shariah","High","7.20588","-0.04717","04-Sep-2024"
"AIA Asia Opportunity Fund","AIA","Equity","Foreign","Non-Shariah","High","0.90741","-0.01800","04-Sep-2024"
"AIA Asia Platinum Fund","AIA","Equity","Foreign","Non-Shariah","High","1.44392","-0.02599","04-Sep-2024"
"AIA Asian Equity Fund","AIA","Equity","Foreign","Non-Shariah","High","0.29030","-0.00612","04-Sep-2024"
"AIA Dana Dinamik*","AIA","Equity","Local","Shariah","High","4.53247","-0.03444","04-Sep-2024"
"AIA Elite Adventurous Fund","AIA","Equity","Foreign","Non-Shariah","High","1.32965","-0.02020","04-Sep-2024"
"AIA Equity Dividend Fund","AIA","Equity","Local","Non-Shariah","Moderate","1.08644","-0.00487","04-Sep-2024"
"AIA Equity Plus Fund","AIA","Equity","Local","Non-Shariah","High","5.19382","-0.03078","04-Sep-2024"
"AIA Global Equity Fund","AIA","Equity","Foreign","Non-Shariah","High","1.36130","-0.01835","04-Sep-2024"
"AIA Global Equity Income Fund","AIA","Equity","Foreign","Non-Shariah","High","1.14143","-0.01690","04-Sep-2024"
"AIA Medium Cap Fund","AIA","Equity","Local","Non-Shariah","High","7.67636","-0.07367","04-Sep-2024"
"AIA New Horizon Fund","AIA","Equity","Foreign","Non-Shariah","High","2.97490","-0.04132","04-Sep-2024"
"AIA Strategic Equity Fund","AIA","Equity","Local & Foreign","Non-Shariah","High","1.65364","-0.02284","04-Sep-2024"
"A-Dana Equity","APTB","Equity","Local","Shariah","High","0.91012","-0.00691","04-Sep-2024"
"A-Dana Strategic Equity","APTB","Equity","Local & Foreign","Shariah","High","1.23428","-0.01080","04-Sep-2024"
"AIA Dana Bon*","AIA","Fixed Income","Local","Shariah","Low","0.99707","0.00010","04-Sep-2024"
"AIA Fixed Income Fund","AIA","Fixed Income","Local","Non-Shariah","Low","3.36900","0.00011","04-Sep-2024"
"AIA Global Bond Fund","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.91828","0.00012","17-May-2022"
"AIA Global Bond Fund 1","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.92574","-0.00035","08-Jun-2022"
"AIA Global Bond Fund 2","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.88540","0.00533","21-Jul-2022"
"AIA Global Bond Fund 3","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.84943","0.00210","30-Aug-2022"
"AIA Global Bond Fund 4","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.82695","0.01428","19-Oct-2022"
"AIA Global Bond Fund 5","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.81716","-0.00895","30-Nov-2022"
"AIA Global Bond Fund 6","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.84550","-0.00557","18-Jan-2023"
"AIA Global Bond Fund 7","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.83542","-0.00039","20-Mar-2023"
"AIA Global Bond Fund 8","AIA","Fixed Income","Foreign","Non-Shariah","Low","0.86290","0.00001","15-May-2023"
"AIA Global Fixed Income Fund","AIA","Fixed Income","Foreign","Non-Shariah","Moderate","2.29387","-0.00333","04-Sep-2024"
"AIA Strategic Fixed Income Fund","AIA","Fixed Income","Local & Foreign","Non-Shariah","Moderate","1.08757","-0.00058","04-Sep-2024"
"A-Dana Income","AIA PUBLIC","Fixed Income","Local","Shariah","Low","0.93573","0.00011","04-Sep-2024"
